あお,Ao,青,右手のひらでほおを後ろになでるように引く,
もり,Mori,森,手のひらを手前に向けた両手を交互に上下させる,
あおもり,Aomori,青森,<青>＋<森>,
あか,Aka,赤,右人差指で唇をさっと引く,
やすみ,Yasumi,休み,両手のひらを下に向けて閉じる,
にちようび,Nichiyoubi,日曜日,<赤>+<休み>,
あさ,Asa,朝,こめかみ付近に当てた右手こぶしをすばやく下におろす,
たべる,Taberu,食べる,左手のひらの上で右手2指を食べるように上下させる,
ちょうしょく,Choushoku,朝食,＜朝＞＋＜食べる＞,
ふじさん,Hujisan,富士山,両手2指で富士山の稜線を描くようにする,
おか,Oka,岡,両手の人差指と中指をつまみ┌ ┐を描く,
しずおか,Shizuoka,静岡,<富士山>＋<岡>,
かみ,Kami,神,両手のひらで柏手を2回打つ,
かわ,Kawa,川,右手3指を揺らしながら下におろす,
かながわ,Kanagawa,神奈川,＜神＞＋＜川＞,
やま,Yama,山,右手で山型を描く,
くち,Kuchi,口,右人差指の先を口元で回す,
やまぐち,Yamaguchi,山口,＜山＞＋＜口＞,
たかい,Takai,高い,コの字形にした右手を上に上げる,
しる,Shiru,知る,右手のひらを胸に当て、下におろす,
こうち,Kouchi,高知,＜高い＞＋＜知る＞,
こじん,Kojin,個人,両手人差指を顔から左右に顔をなぞる,
しょうかい,Syoukai,紹介,右親指を口元で左右に往復させる,
じこしょうかい,JikoSyoukai,自己紹介,＜個人＞＋＜紹介＞,
とても,Totemo,とても,親指と人差指を閉じた右手を左から弧を描きながら親指を立てる,
すき,Suki,好き,親指と人差指を開いた右手をのどに当て、下におろしながら閉じる,
めがない,Meganai,目がない,＜とても＞＋＜好き＞,
ながい,Nagai,長い,閉じた両手の親指と人差指を左右に引き離す,
の,No,野,人差指で「ノ」を描く,
ながの,Nagano,長野,＜長い＞＋＜野＞,